timestamp,process_id,worker_id,label,release,batch,metric,value
2025-09-18T16:36:05.677000,62819,1,worker-1,2023-10-05,5,latency,4.112
2025-09-18T16:36:05.678000,62819,1,worker-1,2023-10-05,6,batches,6.000
2025-09-18T16:36:06.099000,62819,1,worker-1,2023-10-05,,max-rss,7.744
2025-09-18T16:36:06.108000,62817,,coordinator,,,max-rss,0.073
2025-09-18T16:36:06.916000,62820,2,worker-2,2023-10-06,3,latency,7.378
2025-09-18T16:36:14.220000,62819,1,worker-1,2023-10-07,0,latency,7.412
2025-09-18T16:36:15.387000,62820,2,worker-2,2023-10-06,4,latency,8.470
2025-09-18T16:36:20.297000,62820,2,worker-2,2023-10-06,5,latency,4.910
2025-09-18T16:36:20.297000,62820,2,worker-2,2023-10-06,6,batches,6.000
2025-09-18T16:36:21.020000,62820,2,worker-2,2023-10-06,,max-rss,8.028
2025-09-18T16:36:21.030000,62817,,coordinator,,,max-rss,0.073
2025-09-18T16:36:21.237000,62819,1,worker-1,2023-10-07,1,latency,7.017
2025-09-18T16:36:28.666000,62820,2,worker-2,2023-10-08,0,latency,6.901
2025-09-18T16:36:29.428000,62819,1,worker-1,2023-10-07,2,latency,8.191
2025-09-18T16:36:36.115000,62820,2,worker-2,2023-10-08,1,latency,7.449
2025-09-18T16:36:36.126000,62819,1,worker-1,2023-10-07,3,latency,6.698
2025-09-18T16:36:36.126000,62819,1,worker-1,2023-10-07,4,batches,4.000
2025-09-18T16:36:36.515000,62819,1,worker-1,2023-10-07,,max-rss,8.243
2025-09-18T16:36:36.523000,62817,,coordinator,,,max-rss,0.074
2025-09-18T16:36:43.474000,62820,2,worker-2,2023-10-08,2,latency,7.359
2025-09-18T16:36:44.514000,62819,1,worker-1,2023-10-09,0,latency,7.335
2025-09-18T16:36:51.909000,62820,2,worker-2,2023-10-08,3,latency,8.435
2025-09-18T16:36:52.007000,62819,1,worker-1,2023-10-09,1,latency,7.492
2025-09-18T16:36:57.724000,62820,2,worker-2,2023-10-08,4,latency,5.815
2025-09-18T16:36:57.724000,62820,2,worker-2,2023-10-08,5,batches,5.000
2025-09-18T16:36:58.101000,62820,2,worker-2,2023-10-08,,max-rss,8.327
2025-09-18T16:36:58.109000,62817,,coordinator,,,max-rss,0.075
2025-09-18T16:36:59.386000,62819,1,worker-1,2023-10-09,2,latency,7.380
2025-09-18T16:37:06.349000,62820,2,worker-2,2023-10-10,0,latency,7.614
2025-09-18T16:37:07.529000,62819,1,worker-1,2023-10-09,3,latency,8.143
2025-09-18T16:37:10.983000,62819,1,worker-1,2023-10-09,4,latency,3.453
2025-09-18T16:37:10.983000,62819,1,worker-1,2023-10-09,5,batches,5.000
2025-09-18T16:37:11.357000,62819,1,worker-1,2023-10-09,,max-rss,8.454
2025-09-18T16:37:11.367000,62817,,coordinator,,,max-rss,0.076
2025-09-18T16:37:13.127000,62820,2,worker-2,2023-10-10,1,latency,6.779
2025-09-18T16:37:19.409000,62819,1,worker-1,2023-10-11,0,latency,7.334
2025-09-18T16:37:21.042000,62820,2,worker-2,2023-10-10,2,latency,7.915
2025-09-18T16:37:26.722000,62819,1,worker-1,2023-10-11,1,latency,7.312
2025-09-18T16:37:29.036000,62820,2,worker-2,2023-10-10,3,latency,7.993
2025-09-18T16:37:29.036000,62820,2,worker-2,2023-10-10,4,batches,4.000
2025-09-18T16:37:29.722000,62820,2,worker-2,2023-10-10,,max-rss,8.327
2025-09-18T16:37:29.832000,62817,,coordinator,,,max-rss,0.077
2025-09-18T16:37:34.674000,62819,1,worker-1,2023-10-11,2,latency,7.952
2025-09-18T16:37:37.636000,62820,2,worker-2,2023-10-12,0,latency,6.883
2025-09-18T16:37:43.071000,62819,1,worker-1,2023-10-11,3,latency,8.397
2025-09-18T16:37:45.238000,62820,2,worker-2,2023-10-12,1,latency,7.603
2025-09-18T16:37:47.168000,62819,1,worker-1,2023-10-11,4,latency,4.097
2025-09-18T16:37:47.168000,62819,1,worker-1,2023-10-11,5,batches,5.000
2025-09-18T16:37:47.736000,62819,1,worker-1,2023-10-11,,max-rss,8.454
2025-09-18T16:37:47.969000,62817,,coordinator,,,max-rss,0.079
2025-09-18T16:37:52.773000,62820,2,worker-2,2023-10-12,2,latency,7.535
2025-09-18T16:37:55.394000,62819,1,worker-1,2023-10-13,0,latency,6.517
2025-09-18T16:38:01.248000,62820,2,worker-2,2023-10-12,3,latency,8.475
2025-09-18T16:38:02.811000,62819,1,worker-1,2023-10-13,1,latency,7.417
2025-09-18T16:38:06.624000,62820,2,worker-2,2023-10-12,4,latency,5.375
2025-09-18T16:38:06.624000,62820,2,worker-2,2023-10-12,5,batches,5.000
2025-09-18T16:38:07.184000,62820,2,worker-2,2023-10-12,,max-rss,8.388
2025-09-18T16:38:07.193000,62817,,coordinator,,,max-rss,0.080
2025-09-18T16:38:10.397000,62819,1,worker-1,2023-10-13,2,latency,7.586
2025-09-18T16:38:15.055000,62820,2,worker-2,2023-10-14,0,latency,7.041
2025-09-18T16:38:19.304000,62819,1,worker-1,2023-10-13,3,latency,8.907
2025-09-18T16:38:22.445000,62820,2,worker-2,2023-10-14,1,latency,7.390
2025-09-18T16:38:24.576000,62819,1,worker-1,2023-10-13,4,latency,5.272
2025-09-18T16:38:24.576000,62819,1,worker-1,2023-10-13,5,batches,5.000
2025-09-18T16:38:25.272000,62819,1,worker-1,2023-10-13,,max-rss,8.463
2025-09-18T16:38:25.394000,62817,,coordinator,,,max-rss,0.080
2025-09-18T16:38:29.875000,62820,2,worker-2,2023-10-14,2,latency,7.429
2025-09-18T16:38:33.002000,62819,1,worker-1,2023-10-15,0,latency,6.736
2025-09-18T16:38:37.740000,62820,2,worker-2,2023-10-14,3,latency,7.865
2025-09-18T16:38:40.095000,62819,1,worker-1,2023-10-15,1,latency,7.093
2025-09-18T16:38:46.342000,62820,2,worker-2,2023-10-14,4,latency,8.602
2025-09-18T16:38:48.022000,62819,1,worker-1,2023-10-15,2,latency,7.926
2025-09-18T16:38:48.678000,62820,2,worker-2,2023-10-14,5,latency,2.336
2025-09-18T16:38:48.678000,62820,2,worker-2,2023-10-14,6,batches,6.000
2025-09-18T16:38:49.013000,62820,2,worker-2,2023-10-14,,max-rss,8.621
2025-09-18T16:38:49.021000,62817,,coordinator,,,max-rss,0.081
